SURVEY,SURVEY,,NPS,NPS_TOELICHTING,GESLACHT,LEEFTIJD,ABOJAREN,CREATIE_DT,SUBSCRIPTION_KEY,TITEL_TEKST,ABO_TYPE,ELT_PROEF_GEHAD,EXIT_OPZEGREDEN
LLT_Nieuws,LLT_Nieuws,,3,"ik vind,dat er wel  meer financieel nieuws in uw krant mag komen",Man,75 jaar of ouder,21-30 jaar,5/6/2025,ARIA_AD_A1000427550,het AD,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,prettige krant,Vrouw,65-74,6-10 jaar,5/6/2025,ARIA_TR_A1003229163,Trouw,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,75 jaar of ouder,21-30 jaar,8/18/2025,ARIA_TR_A1001479200,Trouw,Zaterdag+ (Hybride),,
LLT_Magazines,LLT_Magazines,,8,Interessant dagblad,Man,55-64,3-5 jaar,7/2/2025,SAP_DA_39593543_10,Dag Allemaal,Compleet,,
EXIT_Magazines,EXIT_Magazines,,6,De abonnementsprijs is aan de hoge kant.,Man,45-54,3-5 jaar,8/25/2025,SAP_DONAL_34072153_10,Donald Duck,Compleet,,De hoge abonnementsprijs
ELT_Nieuws,ELT_Nieuws,,5,De krant komt vrijwel altijd veel te laat. Er staan wel regelmatig goede journalistieke stukken in. Daarentegen is het magazine wel heel erg elitair en randstedelijk. Dat randstedelijk elitair dedain komt ook in de columns prominent naar voor.,Man,65-74,1-2 maanden,3/18/2025,ARIA_VK_A1003652859,de Volkskrant,Zaterdag+ (Hybride),Nee,
EXIT_Nieuws,EXIT_Nieuws,,7,n.v.t.,Man,45-54,6-10 jaar,6/16/2025,ARIA_VK_A1000173480,de Volkskrant,Digital Only,,Geen tijd om de krant te lezen ‘s ochtends
LLT_Nieuws,LLT_Nieuws,,7,de kwaliteit is afgelopen jaren teruggelopen,Vrouw,65-74,Meer dan 30 jaar,1/27/2025,ARIA_VK_A1000171525,de Volkskrant,Digital Only,,
LLT_Nieuws,LLT_Nieuws,,7,"Ik geef geen hoger punt omdat ik twijfel of de Volkskrant zich op een goede manier ontwikkelt. Vaak gaat de inhoud van een artikel ten koste van te veel en te grote foto's, of aan beknoptheid waarmee wellicht tegemoet wordt gekomen aan de veronderstelde v",Man,65-74,6-10 jaar,1/6/2025,ARIA_VK_A1000997825,de Volkskrant,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,0,"Omdat ik Het Parool geen kwaliteitskrant meer vind, de berichtgeving is tendentieus en eenzijdig",Man,65-74,Meer dan 30 jaar,8/4/2025,ARIA_HP_A1000559505,Het Parool,Compleet,,"Het beëindigen van het dienstverband van columnist Theodor Holman, plus toenemende ergernis over nieuwe columnisten en tendentieuze verslaggeving"
LLT_Nieuws,LLT_Nieuws,,8,Goed leesbaar,Vrouw,75 jaar of ouder,11-20 jaar,6/30/2025,ARIA_TR_A1000984003,Trouw,Zaterdag+ (Hybride),,
LLT_Magazines,LLT_Magazines,,3,Weet niet wat iemand anders graag leest,Vrouw,65-74,11-20 jaar,7/2/2025,SAP_MARGR_38770306_10,Margriet,Compleet,,
LLT_Magazines,LLT_Magazines,,10,Reeds van jonge leeftijd al fan van het blad,Vrouw,75 jaar of ouder,Weet ik niet,7/21/2025,SAP_DONAL_10369217_10,Donald Duck,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,65-74,Weet ik niet,5/26/2025,ARIA_DM_A1001881732,De Morgen,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Trouw is gewoon de beste krant van Nederland,Man,75 jaar of ouder,Meer dan 30 jaar,7/14/2025,ARIA_TR_A1000753412,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Redelijk tevreden,Man,65-74,3-5 jaar,8/4/2025,ARIA_AD_A1001167595,het AD,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,9,"Fijne krant, onafhankelijke berichtgeving",Man,55-64,6-10 jaar,1/13/2025,ARIA_VK_A1001655163,de Volkskrant,Zaterdag+ (Hybride),,abonnement op 2 andere kranten
EXIT_Nieuws,EXIT_Nieuws,,8,Fijne krant,Man,65-74,Meer dan 30 jaar,4/28/2025,ARIA_HP_A1000812218,Het Parool,Compleet,,"Stilzwijgend verlengen zonder bericht tegen een duurder tarief, dat vond ik niet klantvriendelijk."
LLT_Nieuws,LLT_Nieuws,,6,Weinig objectief,Man,75 jaar of ouder,6-12 maanden,5/6/2025,ARIA_TR_A1003265611,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Vrouw,75 jaar of ouder,Meer dan 30 jaar,8/25/2025,ARIA_BS_A1002247612,BN DeStem,Compleet,,
EXIT_Magazines,EXIT_Magazines,,5,Het is nog wel leuk om af en toe te lezen maar de doelgroep is veranderd naar meer vermogende lezers en de stijl is niet meer de mijne,Vrouw,65-74,Weet ik niet,8/25/2025,SAP_VTWON_36988870_10,vtwonen,Compleet,,Zie voorgaande  toelichting. En bezuinigingen ivm komend pensioen  en dus minder inkomen
ELT_Magazines,ELT_Magazines,,1,"Persoonlijk vind ik t een beetje saai voor mij  Heb t voor een jaar afgesloten, maar had liever meer variatie gezien.",Vrouw,45-54,1-2 maanden,7/21/2025,SAP_MARGR_41279300_10,Margriet,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,9,n.v.t.,Man,75 jaar of ouder,11-20 jaar,2/10/2025,ARIA_TR_A1000993955,Trouw,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,7,Persoonlijk vind ik De Standaard beter en beter geworden en is hun nieuws relevanter,Man,55-64,Meer dan 30 jaar,3/10/2025,ARIA_DM_A1002017318,De Morgen,Digital Only,,
LLT_Nieuws,LLT_Nieuws,,5,Omdat ik geen reden zie om het BD bij vrienden aan te prijzen noch af te wijzen,Man,65-74,Meer dan 30 jaar,8/25/2025,ARIA_BD_A1001246837,Brabants Dagblad,Compleet,,
ELT_Nieuws,ELT_Nieuws,,8,Omdat ik de volkskrant een van debetere kranten vind,Man,75 jaar of ouder,1-2 maanden,1/13/2025,ARIA_VK_A1003457376,de Volkskrant,Digital Only,Nee,
EXIT_Nieuws,EXIT_Nieuws,,3,Vanwege de klantenservice,Vrouw,35-44,3-5 jaar,1/13/2025,ARIA_AD_A1002285400,het AD,Compleet,,"De prijs, en het slecht bereikbaar, en bezorgen"
EXIT_Nieuws,EXIT_Nieuws,,8,"Goed krant, makkelijk leesbaar, gericht op Amsterdam",Man,55-64,1-2 jaar,3/31/2025,ARIA_HP_A1002776068,Het Parool,Zaterdag+ (Hybride),,"We hebben al een abonnement op De Volkskrant. We hebben simpelweg niet de tijd om twee kranten te lezen, ook niet als 't alleen de zaterdagkrant betreft."
LLT_Magazines,LLT_Magazines,,8,n.v.t.,Man,65-74,Meer dan 30 jaar,7/2/2025,SAP_HM_39267331_10,Humo,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,0,geen prettige ervaringen gehad bij vorig abonnement,Man,65-74,Weet ik niet,8/25/2025,ARIA_AD_A1001163718,het AD,Compleet,,belazerd voelen
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Man,65-74,11-20 jaar,8/25/2025,ARIA_AD_A1001076807,het AD,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,n.v.t.,Man,75 jaar of ouder,Weet ik niet,6/23/2025,ARIA_ED_A1001543160,het ED,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Vrienden of bekenden beveel ik zelden iets aan. Wel kan ik opmerken dat de Volkskrant een prima krant is.,Man,75 jaar of ouder,Weet ik niet,8/25/2025,ARIA_VK_A1000952392,de Volkskrant,Digital Only,,
ELT_Magazines,ELT_Magazines,,8,"Leuk tijdschrift, mijn moeder las hem al",Vrouw,65-74,1-2 maanden,8/18/2025,SAP_LIBEL_41319794_10,Libelle,Compleet,Ja,
LLT_Nieuws,LLT_Nieuws,,9,Goed nieuws . Streekgericht,Man,75 jaar of ouder,Meer dan 30 jaar,2/10/2025,ARIA_ED_A1002143803,het ED,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,Fijne krant  uit de regio om te lezen,Vrouw,65-74,11-20 jaar,1/6/2025,ARIA_DG_A1001302222,de Gelderlander,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,"Goede krant, veel achtergronden, leuke columns.",Man,45-54,6-10 jaar,7/28/2025,ARIA_VK_A1000108868,de Volkskrant,Digitaal Basis,,
EXIT_Nieuws,EXIT_Nieuws,,1,Het DNA van de krant is absoluut mijn ding niet meer.,Man,55-64,1-2 jaar,6/2/2025,ARIA_HLN_A1001977367,Het Laatste Nieuws,Compleet,,"Het DNA van de krant: sensatie, het totale gebrek aan cultuur, het non-nieuws over BV's."
LLT_Nieuws,LLT_Nieuws,,5,n.v.t.,Vrouw,55-64,Weet ik niet,4/21/2025,ARIA_TT_A1001591462,Tubantia,Digital Only,,
LLT_Nieuws,LLT_Nieuws,,8,Het verrijkt mijn leven. Ik geef de vraag geen 10 omdat ik andere mensen ook een andere mening en krant gun.,Man,55-64,21-30 jaar,8/25/2025,ARIA_TR_A1000998917,Trouw,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,8,n.v.t.,Man,55-64,6-12 maanden,6/23/2025,ARIA_AD_A1002992501,het AD,Digitaal Basis,,Einde van de voordeel prijs.
ELT_Nieuws,ELT_Nieuws,,0,Omdat ik het abonnement wil opzeggen.  Maar dat kan pas over een jaar. Ik ben ziek en moet naar het ziekenhuis. Dus ik wilde eerder stoppen.,Man,75 jaar of ouder,1-2 maanden,6/9/2025,ARIA_HP_A1003953583,Het Parool,Digitaal Basis,Nee,
EXIT_Nieuws,EXIT_Nieuws,,7,"Zelf was iktevreden over het abonnement, en ik vind als een vriend me zou mijn ervaring met een abonnement van de morgen zou ik het ook aanbevelen...maar met een goede levering!!!",Man,75 jaar of ouder,Minder dan 6 maanden,2/24/2025,ARIA_DM_A1003001646,De Morgen,Zaterdag+ (Hybride),,Tot 4x geen bezorging van de krant !!! Was wel tevreden met digitaal !!! en toch nog gehecht aan papier!
EXIT_Nieuws,EXIT_Nieuws,,3,Ik vind de krant te radicaal ( Schimmelpenninck bv ) en te ordinair ( Gumbah bv ).,Man,65-74,1-2 jaar,1/13/2025,ARIA_VK_A1002436642,de Volkskrant,Compleet,,Reeds Aangegeven
LLT_Nieuws,LLT_Nieuws,,6,Moet iedereen zelf weten. Velen hebben alleen een landelijk blad. Ik ruil met zo iemand.,Man,75 jaar of ouder,Meer dan 30 jaar,6/16/2025,ARIA_BD_A1003293277,Brabants Dagblad,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,8,"Goede krant met algemeen, sport en regionaal nieuws.",Man,65-74,Weet ik niet,5/13/2025,ARIA_DG_A1000609635,de Gelderlander,Digital Only,,Te weinig tijd
EXIT_Magazines,EXIT_Magazines,,8,Het is en blijft een leuk blad,Vrouw,55-64,21-30 jaar,8/25/2025,SAP_LIBEL_38832552_10,Libelle,Compleet,,"Te duur, heb door mijn werk weinig tijd om de Libelle op tijd te lezen."
EXIT_Nieuws,EXIT_Nieuws,,5,n.v.t.,Man,65-74,3-5 jaar,6/9/2025,ARIA_HLN_A1002094000,Het Laatste Nieuws,Digitaal Basis,,Om af te zijn van domiciliering
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,75 jaar of ouder,Meer dan 30 jaar,7/7/2025,ARIA_VK_A1003579482,de Volkskrant,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Man,45-54,Meer dan 30 jaar,5/13/2025,ARIA_VK_A1000537627,de Volkskrant,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,2,Omdat 1 de bezorging van de krant zeer slecht is  2 heel lang moet wachten aan de telefoon  3 zeer ondeskundig persoon aan de telefoon,Man,75 jaar of ouder,Minder dan 6 maanden,1/27/2025,ARIA_VK_A1003453069,de Volkskrant,Zaterdag+ (Hybride),,Zie eerste vraag
ELT_Nieuws,ELT_Nieuws,,8,n.v.t.,Vrouw,55-64,1-2 maanden,6/16/2025,ARIA_HLN_A1003958547,Het Laatste Nieuws,Compleet,Nee,
ELT_Nieuws,ELT_Nieuws,,0,"De Zeeland editie geeft weinig nieuws en de landelijke editie is een kopie van de Volkskrant,links en zeer groen!",Man,65-74,1-2 maanden,4/28/2025,ARIA_PZ_A1003828287,de PZC,Digital Only,Ja,
EXIT_Nieuws,EXIT_Nieuws,,9,n.v.t.,Man,65-74,Minder dan 6 maanden,8/4/2025,ARIA_AD_A1004029683,het AD,Compleet,,Kan het financieel niet veroorloven nog
LLT_Nieuws,LLT_Nieuws,,10,Al jarenlang tevreden,Man,75 jaar of ouder,Meer dan 30 jaar,1/13/2025,ARIA_TR_A1000340381,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Vlot nieuwsplatform,Man,65-74,1-2 jaar,6/16/2025,ARIA_HLN_A1002580504,Het Laatste Nieuws,Digitaal Basis,,
LLT_Nieuws,LLT_Nieuws,,7,Gezellige krant,Vrouw,65-74,1-2 jaar,8/18/2025,ARIA_BD_A1002341717,Brabants Dagblad,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,0,"Omdat de krant altijd te laat was en op het laatste kreeg ik de zaterdag geen krant. Ik kreeg toen de krant van zaterdag de maandag, die van maandag op dinsdag, die van dinsdag op woensdag enz.",Man,55-64,Minder dan 6 maanden,3/10/2025,ARIA_HLN_A1003406185,Het Laatste Nieuws,Compleet,,Niet nakomen van de bedeling. Ik had mijn abonnement al eens opgezegd wegens dezelfde problematiek. Heb dan opnieuw een abonnement aangegaan met de belofte dat de krant weer op tijd geleverd ging worden
LLT_Nieuws,LLT_Nieuws,,3,de papieren versie zou ik zeker niet adviseren omdat de bezorging daar wat te wensen over laat en digitaal   is ook niet echt alles,Vrouw,65-74,3-5 jaar,5/19/2025,ARIA_PZ_A1001276267,de PZC,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,6,Ik woon niet in Adam en ik ervaar de krant als amsterdams. En wanneer -anno 2025- adviseer je nog een krant aan iemand.,Man,75 jaar of ouder,Meer dan 30 jaar,7/7/2025,ARIA_HP_A1000946766,Het Parool,Zaterdag+ (Hybride),,
ELT_Nieuws,ELT_Nieuws,,4,Omdat ik zelf maar matig tevreden ben over de krant.,Man,65-74,1-2 maanden,6/23/2025,ARIA_TR_A1003973278,Trouw,Compleet,Ja,
LLT_Nieuws,LLT_Nieuws,,8,De meest informatieve krant.,Man,75 jaar of ouder,11-20 jaar,6/23/2025,ARIA_HLN_A1001996676,Het Laatste Nieuws,Compleet,,
ELT_Nieuws,ELT_Nieuws,,9,Goede artikelen,Man,55-64,1-2 maanden,7/14/2025,ARIA_HP_A1004007405,Het Parool,Compleet,Ja,
EXIT_Nieuws,EXIT_Nieuws,,8,"Goede objectieve kracht, voelt toch persoonlijk aan",Man,55-64,3-5 jaar,1/27/2025,ARIA_VK_A1000795842,de Volkskrant,Compleet,,Zonde van al dat papier Ik wilde eens wat anders Miste teveel regionaal nieuws Steeds minder tijd om de hele krant te lezen
EXIT_Magazines,EXIT_Magazines,,8,Als het bij het kind past is de Donald Duck erg leuk. Maar is wel een beste prijs.,Vrouw,35-44,6-12 maanden,7/7/2025,SAP_DONAL_40928978_10,Donald Duck,Compleet,,Dochter met dyslexie vondt het te moeilijk.
LLT_Nieuws,LLT_Nieuws,,6,Mensen moeten dat vooral zelf weten en ze vragen mij er niet naar.,Vrouw,65-74,Meer dan 30 jaar,6/2/2025,ARIA_VK_A1000950934,de Volkskrant,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,6,n.v.t.,Man,55-64,Minder dan 6 maanden,3/10/2025,ARIA_AD_A1003626479,het AD,Digitaal Basis,,n.v.t.
ELT_Nieuws,ELT_Nieuws,,7,Omdat ik alleen oordeel over de zaterdagkrant met bijlage. Ik lees moeizaam en volsta met 1 krant per week en heb dus geen oordeel over de gehele week.,Vrouw,75 jaar of ouder,1-2 maanden,2/3/2025,ARIA_HP_A1003479969,Het Parool,Zaterdag+ (Hybride),Nee,
LLT_Nieuws,LLT_Nieuws,,7,Goed,Man,65-74,6-10 jaar,8/18/2025,ARIA_HLN_A1003600253,Het Laatste Nieuws,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,Fijne krant,Vrouw,75 jaar of ouder,11-20 jaar,7/28/2025,ARIA_AD_A1000740545,het AD,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,"Het is een leuke krant, duidelijke layout. Uitspraken van Pieter Klok dat hij wel even bepaald wat wenselijke onderwerpen zijn (zoals migratie) baren mij wel zorgen. Ook absoluut niet neutraal in israel/gaza conflict",Man,35-44,11-20 jaar,7/14/2025,ARIA_VK_A1002803282,de Volkskrant,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,n.v.t.,Vrouw,55-64,6-10 jaar,7/21/2025,ARIA_DG_A1001216527,de Gelderlander,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,7,"Omdat er na tien jaar melden dat ik een man ben en geen vrouw , er gaten zijn in de administratie .Dus gelieve dit eens dringend aan te passen .",Man,65-74,11-20 jaar,5/6/2025,ARIA_HLN_A1002118064,Het Laatste Nieuws,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,"Brede informatie, waarvan een deel mij niet interesseert: kunst in diverse vormen.",Man,75 jaar of ouder,6-10 jaar,5/13/2025,ARIA_TR_A1002995437,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,9,n.v.t.,Vrouw,55-64,6-10 jaar,7/28/2025,ARIA_DM_A1002038374,De Morgen,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,65-74,Meer dan 30 jaar,5/26/2025,ARIA_TR_A1000522328,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,0,"Te duur, en wordt onaangekondigd steeds verhoogd, slechte zaak!!",Man,75 jaar of ouder,3-5 jaar,1/27/2025,ARIA_ST_A1000908741,de Stentor,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,9,excellente berichtgeving.,Man,75 jaar of ouder,3-5 jaar,7/14/2025,ARIA_VK_A1001010625,de Volkskrant,Compleet,,Puur om financiële reden. Nu mis ik de VK enorm. Is er een modus VK alleen op de zaterdag?
EXIT_Nieuws,EXIT_Nieuws,,0,Thuis levering dramatisch in wetteren,Vrouw,55-64,11-20 jaar,3/10/2025,ARIA_HLN_A1002044332,Het Laatste Nieuws,Compleet,,Was altijd afwachten of de krant zou geleverd zijn en meestal dus niet geleverd
LLT_Nieuws,LLT_Nieuws,,5,"Ik ben niet enthousiast over het abonnement, ik lees dagelijks vluchtig de nieuws items die me aanspreken, dat zijn er weinig",Man,55-64,3-5 jaar,6/16/2025,ARIA_AD_A1001490009,het AD,Digitaal Basis,,
EXIT_Nieuws,EXIT_Nieuws,,9,Prettige krant om te lezen,Vrouw,65-74,Minder dan 6 maanden,8/25/2025,ARIA_AD_A1004087334,het AD,Compleet,,Volledig abonnement is te duur voor mij
ELT_Magazines,ELT_Magazines,,0,Valt mij tegen,Vrouw,35-44,3-4 maanden,8/11/2025,SAP_VTWON_41281782_10,vtwonen,Compleet,Nee,
ELT_Nieuws,ELT_Nieuws,,0,Het laatste nieuws is geen onpartijdige krant en ik vind dat dat wel zo moet zijn.,Vrouw,45-54,Weet ik niet zeker,3/31/2025,ARIA_HLN_A1003673657,Het Laatste Nieuws,Zaterdag+ (Hybride),Weet ik niet,
LLT_Nieuws,LLT_Nieuws,,5,vanwege de eigen blik op de krant,Man,75 jaar of ouder,6-12 maanden,2/10/2025,ARIA_TR_A1003061046,Trouw,Compleet,,
ELT_Nieuws,ELT_Nieuws,,3,Weinig lokaal nieuws,Man,75 jaar of ouder,1-2 maanden,8/25/2025,ARIA_ST_A1004148125,de Stentor,Digital Only,Nee,
LLT_Nieuws,LLT_Nieuws,,10,Het nieuws altijd goed gebracht,Vrouw,55-64,6-10 jaar,3/10/2025,ARIA_HLN_A1003004008,Het Laatste Nieuws,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,8,Fijne krant!,Vrouw,55-64,3-5 jaar,1/27/2025,ARIA_VK_A1000866127,de Volkskrant,Zaterdag+ (Hybride),,Kosten
LLT_Nieuws,LLT_Nieuws,,8,Goede artikelen,Man,65-74,6-12 maanden,5/6/2025,ARIA_DM_A1003541326,De Morgen,Digital Only,,
EXIT_Nieuws,EXIT_Nieuws,,10,"ikzelf ben nog geabonneerd op het laatste nieuws, maar via een andere weg die mij veel minder kost.",Man,65-74,Meer dan 30 jaar,6/2/2025,ARIA_HLN_A1001877705,Het Laatste Nieuws,Compleet,,zie uitleg hierboven;
EXIT_Nieuws,EXIT_Nieuws,,3,Volgens de info zou je op 3 toestellen kunnen lezen en dit lukt bij mij niet. Indien ik op de computer aangemeld ben kan ik op mijn gsm de krant niet opendoen.,Man,65-74,Minder dan 6 maanden,6/9/2025,ARIA_HLN_A1003981497,Het Laatste Nieuws,Digitaal Basis,,Omdat Het Laatste Nieuws niet deed wat het beloofde in de voorwaarden
LLT_Nieuws,LLT_Nieuws,,6,Dat ik het een matige krant vind,Man,55-64,3-5 jaar,3/10/2025,ARIA_AD_A1000565066,het AD,Digitaal Basis,,
LLT_Nieuws,LLT_Nieuws,,8,geen mening,Man,75 jaar of ouder,6-12 maanden,4/7/2025,ARIA_ED_A1003251947,het ED,Digital Only,,
LLT_Nieuws,LLT_Nieuws,,9,n.v.t.,Man,65-74,Weet ik niet,6/23/2025,ARIA_TT_A1002817689,Tubantia,Digitaal Basis,,
EXIT_Nieuws,EXIT_Nieuws,,7,n.v.t.,Man,55-64,3-5 jaar,5/13/2025,ARIA_HLN_A1003877705,Het Laatste Nieuws,Zaterdag+ (Hybride),,Slechte levering door de krantenbezorger
LLT_Nieuws,LLT_Nieuws,,9,Progressieve kijk,Vrouw,55-64,Meer dan 30 jaar,8/11/2025,ARIA_DM_A1003922895,De Morgen,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Vrouw,55-64,21-30 jaar,8/18/2025,ARIA_AD_A1003164250,het AD,Digitaal Basis,,
LLT_Magazines,LLT_Magazines,,7,niet van toepassing,Man,75 jaar of ouder,1-2 jaar,8/4/2025,SAP_DA_40776252_10,Dag Allemaal,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,8,Omdat het gewoon een goede krant is met (redelijk) neutrale informatie.,Man,45-54,1-2 jaar,6/23/2025,ARIA_VK_A1002933454,de Volkskrant,Zaterdag+ (Hybride),,de bezorger en de bijbehorende bezorgklachten.
ELT_Nieuws,ELT_Nieuws,,8,n.v.t.,Vrouw,65-74,Weet ik niet zeker,8/11/2025,ARIA_HLN_A1004065928,Het Laatste Nieuws,Zaterdag+ (Hybride),Nee,
EXIT_Nieuws,EXIT_Nieuws,,6,Minder interessant,Vrouw,45-54,3-5 jaar,6/23/2025,ARIA_VK_A1001144440,de Volkskrant,Digital Only,,Andere krant minder gericht op mode en gadgets
LLT_Nieuws,LLT_Nieuws,,10,Ik ben heel tevreden met de Trouw,Vrouw,75 jaar of ouder,Weet ik niet,2/17/2025,ARIA_TR_A1000515753,Trouw,Compleet,,
LLT_Magazines,LLT_Magazines,,8,n.v.t.,Vrouw,65-74,11-20 jaar,7/28/2025,SAP_LIBEL_6588629_20,Libelle,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,5,Goede informatie,Vrouw,65-74,3-5 jaar,3/31/2025,ARIA_VK_A1000951248,de Volkskrant,Zaterdag+ (Hybride),,Niet mijn keus Wist niet dat het afliep
ELT_Nieuws,ELT_Nieuws,,0,Ik heb digi en zaterdag krant. Zaterdag krant wordt nooit bezorgd. Abonnement voldoet niet aan verwachting.,Vrouw,55-64,1-2 maanden,5/19/2025,ARIA_DG_A1003886306,de Gelderlander,Zaterdag+ (Hybride),Ja,
LLT_Magazines,LLT_Magazines,,1,Ik vind er niet zoveel aan. Is niet mijn stijl en vind het ook niet passen bij de stijl van VTWonen.,Vrouw,45-54,Weet ik niet,8/11/2025,SAP_WLSTYNL_37253872_20,vtwonen Landelijk,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,65-74,11-20 jaar,4/28/2025,ARIA_BS_A1002368893,BN DeStem,Digital Only,,
ELT_Nieuws,ELT_Nieuws,,7,wij vinden het fijn om de papieren krant te lezen,Vrouw,65-74,1-2 maanden,3/24/2025,ARIA_PZ_A1003686861,de PZC,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,10,Leuke artikels,Man,55-64,1-2 jaar,7/21/2025,ARIA_DM_A1002741773,De Morgen,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,Omdat leveringen zo onbetrouwbaar zijn en indien je iets wilt melden het ontzettend moeilijk is en klantenservice helemaal niet een service is.,Vrouw,55-64,21-30 jaar,8/11/2025,ARIA_DM_A1003169695,De Morgen,print-only,,
LLT_Magazines,LLT_Magazines,,7,Niet iedereen zal een abonnement willen in deze tijd van social media,Man,55-64,21-30 jaar,7/14/2025,SAP_VRONI_17384997_10,Veronica Superguide,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,0,Met name de opiniërende stukken staan ver van mij af. Ze zijn eenzijdig gekleurd.,Man,55-64,1-2 jaar,6/9/2025,ARIA_VK_A1000806259,de Volkskrant,Digital Only,,Dit heb ik al geantwoord
ELT_Nieuws,ELT_Nieuws,,5,"Hoewel ik zeer tevreden ben de krant, ben ik, met alles, terughoudend om anderen te vertellen wat men zou moeten doen.",Man,75 jaar of ouder,1-2 maanden,2/24/2025,ARIA_VK_A1003610589,de Volkskrant,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Man,75 jaar of ouder,Meer dan 30 jaar,7/28/2025,ARIA_AD_A1003369860,het AD,Compleet,,
LLT_Magazines,LLT_Magazines,,8,Omdat ik al vele vele jaren  abonnee ben  en zeker niet wil veranderen.,Man,75 jaar of ouder,Meer dan 30 jaar,7/21/2025,SAP_DA_40734275_10,Dag Allemaal,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,"Omdat dit de meest vervelende marketing vraag is die bij survey's gevraagd kan worden, zeker als eerste vraag. Dat je ermee afsluit kan ik nog begrijpen maar luister eerst wat een abonnee te zeggen heeft!",Man,55-64,Meer dan 30 jaar,4/7/2025,ARIA_VK_A1001141322,de Volkskrant,Digital Only,,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,65-74,Meer dan 30 jaar,6/23/2025,ARIA_AD_A1000332399,het AD,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,7,Aardig informatief blad voor de regio,Man,65-74,3-5 jaar,4/7/2025,ARIA_BS_A1001544036,BN DeStem,Zaterdag+ (Hybride),,Heb teveel krantenabonnementen.
LLT_Nieuws,LLT_Nieuws,,5,We zouden het ED zeker aanbevelen. Deden dit in verleden ook. Echter de prijs........,Vrouw,65-74,Meer dan 30 jaar,7/28/2025,ARIA_ED_A1000664650,het ED,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,redelijk tevreden,Man,65-74,21-30 jaar,2/3/2025,ARIA_HP_A1002668535,Het Parool,Digital Only,,
ELT_Nieuws,ELT_Nieuws,,9,"Tevreden, maar als vast abonnement te prijzig",Vrouw,55-64,Minder dan 1 maand,8/4/2025,ARIA_AD_A1004067748,het AD,Digital Only,Ja,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,55-64,Weet ik niet,3/10/2025,ARIA_TR_A1000864054,Trouw,Zaterdag+ (Hybride),,
